protocol,network_profile,classical_n,classical_mean_us,classical_median_us,classical_p95_us,classical_p99_us,hybrid_n,hybrid_mean_us,hybrid_median_us,hybrid_p95_us,hybrid_p99_us,mean_difference_us,mean_overhead_pct,mean_ratio,median_difference_us,median_overhead_pct,p95_difference_us,p95_overhead_pct,p99_difference_us,p99_overhead_pct
SSH,baseline,20,235230.4500,188033.0000,606926.5000,705490.9000,20,244704.7500,243924.5000,269524.3500,272098.4700,9474.3000,4.0277,1.0403,55891.5000,29.7243,-337402.1500,-55.5919,-433392.4300,-61.4313
SSH,latency100,10,2589693.9000,2587717.5000,2604537.7000,2612189.1400,10,2640730.4000,2614754.5000,2775557.3000,2874739.4600,51036.5000,1.9708,1.0197,27037.0000,1.0448,171019.6000,6.5662,262550.3200,10.0510
SSH,latency200,10,4984973.4000,4984998.5000,4991516.5000,4992031.3000,10,5009040.8000,5010652.0000,5021284.1000,5023826.4200,24067.4000,0.4828,1.0048,25653.5000,0.5146,29767.6000,0.5964,31795.1200,0.6369
SSH,bandwidth1mbps,10,183585.6000,178590.5000,200959.7000,206177.5400,10,250965.5000,248728.5000,269528.9000,272847.3800,67379.9000,36.7022,1.3670,70138.0000,39.2731,68569.2000,34.1209,66669.8400,32.3361
SSH,loss1,10,195261.4000,193522.5000,205918.2000,206186.0400,10,332546.9000,249022.0000,576147.6000,666317.5200,137285.5000,70.3086,1.7031,55499.5000,28.6786,370229.4000,179.7944,460131.4800,223.1633
SSH,mobile,10,1428380.5000,1422513.0000,1667463.1000,1700432.6200,10,1475786.9000,1453389.0000,1846452.7000,1931129.7400,47406.4000,3.3189,1.0332,30876.0000,2.1705,178989.6000,10.7342,230697.1200,13.5670
TLS,baseline,20,25502.1000,24553.5000,33198.1000,34841.2200,20,10146.7500,9988.0000,11804.7000,12392.9400,-15355.3500,-60.2121,0.3979,-14565.5000,-59.3215,-21393.4000,-64.4416,-22448.2800,-64.4302
TLS,latency100,10,631927.9000,631071.5000,638126.6500,639214.9300,10,615057.8000,614759.0000,618611.1500,619307.0300,-16870.1000,-2.6696,0.9733,-16312.5000,-2.5849,-19515.5000,-3.0582,-19907.9000,-3.1144
TLS,latency200,10,1231858.9000,1229966.5000,1241052.2500,1245816.8500,10,1221289.6000,1218643.5000,1236237.7500,1245649.9500,-10569.3000,-0.8580,0.9914,-11323.0000,-0.9206,-4814.5000,-0.3879,-166.9000,-0.0134
TLS,bandwidth1mbps,10,25140.6000,25746.5000,28066.7500,28694.9500,10,41002.2000,42854.5000,43893.7500,43938.7500,15861.6000,63.0916,1.6309,17108.0000,66.4479,15827.0000,56.3906,15243.8000,53.1236
TLS,loss1,10,26022.8000,24978.0000,33510.6000,37698.1200,10,9945.4000,9881.5000,11796.3000,12590.4600,-16077.4000,-61.7820,0.3822,-15096.5000,-60.4392,-21714.3000,-64.7983,-25107.6600,-66.6019
TLS,mobile,10,370857.0000,363200.0000,455138.6000,457943.7200,10,495659.3000,395894.5000,976018.8000,1248789.3600,124802.3000,33.6524,1.3365,32694.5000,9.0018,520880.2000,114.4443,790845.6400,172.6949
