protocol,configuration,network_profile,n,mean_latency_us,median_latency_us,stddev_latency_us,min_latency_us,max_latency_us,range_latency_us,p95_latency_us,p99_latency_us,coefficient_variation_pct
SSH,Classical,baseline,20,235230.4500,188033.0000,149054.8414,172022.0000,730132.0000,558110.0000,606926.5000,705490.9000,63.3655
SSH,Classical,latency100,10,2589693.9000,2587717.5000,9700.4436,2577018.0000,2614102.0000,37084.0000,2604537.7000,2612189.1400,0.3746
SSH,Classical,latency200,10,4984973.4000,4984998.5000,4078.0895,4978017.0000,4992160.0000,14143.0000,4991516.5000,4992031.3000,0.0818
SSH,Classical,bandwidth1mbps,10,183585.6000,178590.5000,10608.8478,173959.0000,207482.0000,33523.0000,200959.7000,206177.5400,5.7787
SSH,Classical,loss1,10,195261.4000,193522.5000,7951.8482,183637.0000,206253.0000,22616.0000,205918.2000,206186.0400,4.0724
SSH,Classical,mobile,10,1428380.5000,1422513.0000,150151.4078,1250389.0000,1708675.0000,458286.0000,1667463.1000,1700432.6200,10.5120
SSH,Hybrid,baseline,20,244704.7500,243924.5000,14220.7363,222552.0000,272742.0000,50190.0000,269524.3500,272098.4700,5.8114
SSH,Hybrid,latency100,10,2640730.4000,2614754.5000,91197.7289,2600146.0000,2899535.0000,299389.0000,2775557.3000,2874739.4600,3.4535
SSH,Hybrid,latency200,10,5009040.8000,5010652.0000,8340.8937,4998503.0000,5024462.0000,25959.0000,5021284.1000,5023826.4200,0.1665
SSH,Hybrid,bandwidth1mbps,10,250965.5000,248728.5000,12060.2283,233958.0000,273677.0000,39719.0000,269528.9000,272847.3800,4.8055
SSH,Hybrid,loss1,10,332546.9000,249022.0000,148006.6112,231589.0000,688860.0000,457271.0000,576147.6000,666317.5200,44.5070
SSH,Hybrid,mobile,10,1475786.9000,1453389.0000,220737.1453,1207307.0000,1952299.0000,744992.0000,1846452.7000,1931129.7400,14.9573
TLS,Classical,baseline,20,25502.1000,24553.5000,3772.8873,20380.0000,35252.0000,14872.0000,33198.1000,34841.2200,14.7944
TLS,Classical,latency100,10,631927.9000,631071.5000,4040.7184,626445.0000,639487.0000,13042.0000,638126.6500,639214.9300,0.6394
TLS,Classical,latency200,10,1231858.9000,1229966.5000,5500.3928,1228858.0000,1247008.0000,18150.0000,1241052.2500,1245816.8500,0.4465
TLS,Classical,bandwidth1mbps,10,25140.6000,25746.5000,2370.1089,21458.0000,28852.0000,7394.0000,28066.7500,28694.9500,9.4274
TLS,Classical,loss1,10,26022.8000,24978.0000,4716.2031,22349.0000,38745.0000,16396.0000,33510.6000,37698.1200,18.1234
TLS,Classical,mobile,10,370857.0000,363200.0000,58489.8284,302280.0000,458645.0000,156365.0000,455138.6000,457943.7200,15.7715
TLS,Hybrid,baseline,20,10146.7500,9988.0000,1225.1246,8274.0000,12540.0000,4266.0000,11804.7000,12392.9400,12.0741
TLS,Hybrid,latency100,10,615057.8000,614759.0000,2309.5804,611719.0000,619481.0000,7762.0000,618611.1500,619307.0300,0.3755
TLS,Hybrid,latency200,10,1221289.6000,1218643.5000,9550.5365,1215713.0000,1248003.0000,32290.0000,1236237.7500,1245649.9500,0.7820
TLS,Hybrid,bandwidth1mbps,10,41002.2000,42854.5000,3157.3081,35553.0000,43950.0000,8397.0000,43893.7500,43938.7500,7.7003
TLS,Hybrid,loss1,10,9945.4000,9881.5000,1270.0434,8597.0000,12789.0000,4192.0000,11796.3000,12590.4600,12.7702
TLS,Hybrid,mobile,10,495659.3000,395894.5000,295675.6167,325288.0000,1316982.0000,991694.0000,976018.8000,1248789.3600,59.6530
