protocol,network_profile,classical_n,hybrid_n,classical_mean_us,hybrid_mean_us,mean_difference_us,mean_overhead_pct,classical_median_us,hybrid_median_us,median_difference_us,median_overhead_pct,u_statistic,p_value,rank_biserial_correlation,effect_magnitude,effect_category,direction
SSH,baseline,20,20,235230.450000,244704.750000,9474.300000,4.027667,188033.000000,243924.500000,55891.500000,29.724304,40.000000,0.000016,-0.800000,0.800000,Large,Hybrid higher latency
SSH,latency100,10,10,2589693.900000,2640730.400000,51036.500000,1.970754,2587717.500000,2614754.500000,27037.000000,1.044820,4.000000,0.000583,-0.920000,0.920000,Large,Hybrid higher latency
SSH,latency200,10,10,4984973.400000,5009040.800000,24067.400000,0.482799,4984998.500000,5010652.000000,25653.500000,0.514614,0.000000,0.000183,-1.000000,1.000000,Large,Hybrid higher latency
SSH,bandwidth1mbps,10,10,183585.600000,250965.500000,67379.900000,36.702171,178590.500000,248728.500000,70138.000000,39.273086,0.000000,0.000183,-1.000000,1.000000,Large,Hybrid higher latency
SSH,loss1,10,10,195261.400000,332546.900000,137285.500000,70.308571,193522.500000,249022.000000,55499.500000,28.678577,0.000000,0.000183,-1.000000,1.000000,Large,Hybrid higher latency
SSH,mobile,10,10,1428380.500000,1475786.900000,47406.400000,3.318892,1422513.000000,1453389.000000,30876.000000,2.170525,45.000000,0.733730,-0.100000,0.100000,Negligible,Hybrid higher latency
TLS,baseline,20,20,25502.100000,10146.750000,-15355.350000,-60.212100,24553.500000,9988.000000,-14565.500000,-59.321482,400.000000,0.000000,1.000000,1.000000,Large,Hybrid lower latency
TLS,latency100,10,10,631927.900000,615057.800000,-16870.100000,-2.669624,631071.500000,614759.000000,-16312.500000,-2.584889,100.000000,0.000183,1.000000,1.000000,Large,Hybrid lower latency
TLS,latency200,10,10,1231858.900000,1221289.600000,-10569.300000,-0.857996,1229966.500000,1218643.500000,-11323.000000,-0.920594,90.000000,0.002827,0.800000,0.800000,Large,Hybrid lower latency
TLS,bandwidth1mbps,10,10,25140.600000,41002.200000,15861.600000,63.091573,25746.500000,42854.500000,17108.000000,66.447867,0.000000,0.000183,-1.000000,1.000000,Large,Hybrid higher latency
TLS,loss1,10,10,26022.800000,9945.400000,-16077.400000,-61.781976,24978.000000,9881.500000,-15096.500000,-60.439186,100.000000,0.000183,1.000000,1.000000,Large,Hybrid lower latency
TLS,mobile,10,10,370857.000000,495659.300000,124802.300000,33.652405,363200.000000,395894.500000,32694.500000,9.001790,30.000000,0.140465,-0.400000,0.400000,Medium,Hybrid higher latency
