protocol,configuration,network_profile,baseline_mean_us,mean_latency_us,mean_change_us,mean_change_pct,baseline_median_us,median_latency_us,median_change_us,median_change_pct,baseline_p95_us,p95_latency_us,p95_change_us,p95_change_pct
SSH,Classical,latency100,235230.4500,2589693.9000,2354463.4500,1000.9178,188033.0000,2587717.5000,2399684.5000,1276.2039,606926.5000,2604537.7000,1997611.2000,329.1356
SSH,Classical,latency200,235230.4500,4984973.4000,4749742.9500,2019.1871,188033.0000,4984998.5000,4796965.5000,2551.1296,606926.5000,4991516.5000,4384590.0000,722.4252
SSH,Classical,bandwidth1mbps,235230.4500,183585.6000,-51644.8500,-21.9550,188033.0000,178590.5000,-9442.5000,-5.0217,606926.5000,200959.7000,-405966.8000,-66.8890
SSH,Classical,loss1,235230.4500,195261.4000,-39969.0500,-16.9914,188033.0000,193522.5000,5489.5000,2.9194,606926.5000,205918.2000,-401008.3000,-66.0720
SSH,Classical,mobile,235230.4500,1428380.5000,1193150.0500,507.2260,188033.0000,1422513.0000,1234480.0000,656.5231,606926.5000,1667463.1000,1060536.6000,174.7389
SSH,Hybrid,latency100,244704.7500,2640730.4000,2396025.6500,979.1496,243924.5000,2614754.5000,2370830.0000,971.9524,269524.3500,2775557.3000,2506032.9500,929.7983
SSH,Hybrid,latency200,244704.7500,5009040.8000,4764336.0500,1946.9733,243924.5000,5010652.0000,4766727.5000,1954.1815,269524.3500,5021284.1000,4751759.7500,1763.0169
SSH,Hybrid,bandwidth1mbps,244704.7500,250965.5000,6260.7500,2.5585,243924.5000,248728.5000,4804.0000,1.9695,269524.3500,269528.9000,4.5500,0.0017
SSH,Hybrid,loss1,244704.7500,332546.9000,87842.1500,35.8972,243924.5000,249022.0000,5097.5000,2.0898,269524.3500,576147.6000,306623.2500,113.7646
SSH,Hybrid,mobile,244704.7500,1475786.9000,1231082.1500,503.0888,243924.5000,1453389.0000,1209464.5000,495.8356,269524.3500,1846452.7000,1576928.3500,585.0782
TLS,Classical,latency100,25502.1000,631927.9000,606425.8000,2377.9446,24553.5000,631071.5000,606518.0000,2470.1896,33198.1000,638126.6500,604928.5500,1822.1782
TLS,Classical,latency200,25502.1000,1231858.9000,1206356.8000,4730.4214,24553.5000,1229966.5000,1205413.0000,4909.3327,33198.1000,1241052.2500,1207854.1500,3638.3231
TLS,Classical,bandwidth1mbps,25502.1000,25140.6000,-361.5000,-1.4175,24553.5000,25746.5000,1193.0000,4.8588,33198.1000,28066.7500,-5131.3500,-15.4568
TLS,Classical,loss1,25502.1000,26022.8000,520.7000,2.0418,24553.5000,24978.0000,424.5000,1.7289,33198.1000,33510.6000,312.5000,0.9413
TLS,Classical,mobile,25502.1000,370857.0000,345354.9000,1354.2214,24553.5000,363200.0000,338646.5000,1379.2188,33198.1000,455138.6000,421940.5000,1270.9779
TLS,Hybrid,latency100,10146.7500,615057.8000,604911.0500,5961.6237,9988.0000,614759.0000,604771.0000,6054.9760,11804.7000,618611.1500,606806.4500,5140.3801
TLS,Hybrid,latency200,10146.7500,1221289.6000,1211142.8500,11936.2638,9988.0000,1218643.5000,1208655.5000,12101.0763,11804.7000,1236237.7500,1224433.0500,10372.4199
TLS,Hybrid,bandwidth1mbps,10146.7500,41002.2000,30855.4500,304.0920,9988.0000,42854.5000,32866.5000,329.0599,11804.7000,43893.7500,32089.0500,271.8328
TLS,Hybrid,loss1,10146.7500,9945.4000,-201.3500,-1.9844,9988.0000,9881.5000,-106.5000,-1.0663,11804.7000,11796.3000,-8.4000,-0.0712
TLS,Hybrid,mobile,10146.7500,495659.3000,485512.5500,4784.9070,9988.0000,395894.5000,385906.5000,3863.7014,11804.7000,976018.8000,964214.1000,8168.0526
