experiment_id,protocol,configuration,network_profile,iteration,latency_us,lower_bound_us,upper_bound_us
ssh_baseline_classical_20260901_150959_1,SSH,Classical,baseline,1,730132.0000,157308.5000,218528.5000
ssh_baseline_classical_20260901_151439_1,SSH,Classical,baseline,1,600442.0000,157308.5000,218528.5000
ssh_latency100_classical_20260901_151457_1,SSH,Classical,latency100,1,2577018.0000,2578158.1250,2599633.1250
ssh_latency100_classical_20260901_151457_10,SSH,Classical,latency100,10,2614102.0000,2578158.1250,2599633.1250
ssh_latency200_classical_20260901_151614_6,SSH,Classical,latency200,6,4990730.0000,4979866.0000,4988644.0000
ssh_latency200_classical_20260901_151614_7,SSH,Classical,latency200,7,4992160.0000,4979866.0000,4988644.0000
ssh_latency200_classical_20260901_151614_9,SSH,Classical,latency200,9,4978017.0000,4979866.0000,4988644.0000
ssh_latency100_hybrid_20260901_151457_7,SSH,Hybrid,latency100,7,2899535.0000,2592899.2500,2630569.2500
ssh_loss1_hybrid_20260901_151800_9,SSH,Hybrid,loss1,9,688860.0000,-5245.6250,635389.3750
ssh_mobile_hybrid_20260901_151814_2,SSH,Hybrid,mobile,2,1717085.0000,1173967.7500,1674273.7500
ssh_mobile_hybrid_20260901_151814_8,SSH,Hybrid,mobile,8,1952299.0000,1173967.7500,1674273.7500
tls_baseline_classical_20260901_150510_8,TLS,Classical,baseline,8,35252.0000,17762.6250,32139.6250
tls_baseline_classical_20260901_150510_10,TLS,Classical,baseline,10,33090.0000,17762.6250,32139.6250
tls_latency200_classical_20260901_151549_1,TLS,Classical,latency200,1,1247008.0000,1227725.5000,1232355.5000
tls_latency200_classical_20260901_151549_4,TLS,Classical,latency200,4,1233773.0000,1227725.5000,1232355.5000
tls_loss1_classical_20260901_151759_8,TLS,Classical,loss1,8,38745.0000,19275.2500,30201.2500
tls_latency200_hybrid_20260901_151549_1,TLS,Hybrid,latency200,1,1248003.0000,1213430.6250,1223229.6250
tls_mobile_hybrid_20260901_151805_6,TLS,Hybrid,mobile,6,559286.0000,276152.6250,538285.6250
tls_mobile_hybrid_20260901_151805_8,TLS,Hybrid,mobile,8,1316982.0000,276152.6250,538285.6250
