protocol,configuration,network_profile,n,q1_us,q3_us,iqr_us,lower_bound_us,upper_bound_us,outlier_count,outlier_pct,mean_all_us,median_all_us,mean_without_outliers_us,median_without_outliers_us
SSH,Classical,baseline,20,180266.0000,195571.0000,15305.0000,157308.5000,218528.5000,2,10.0000,235230.4500,188033.0000,187446.3889,186577.5000
SSH,Classical,latency100,10,2586211.2500,2591580.0000,5368.7500,2578158.1250,2599633.1250,2,20.0000,2589693.9000,2587717.5000,2588227.3750,2587717.5000
SSH,Classical,latency200,10,4983157.7500,4985352.2500,2194.5000,4979866.0000,4988644.0000,3,30.0000,4984973.4000,4984998.5000,4984118.1429,4984919.0000
SSH,Classical,bandwidth1mbps,10,176142.2500,188908.5000,12766.2500,156992.8750,208057.8750,0,0.0000,183585.6000,178590.5000,183585.6000,178590.5000
SSH,Classical,loss1,10,190153.7500,201677.5000,11523.7500,172868.1250,218963.1250,0,0.0000,195261.4000,193522.5000,195261.4000,193522.5000
SSH,Classical,mobile,10,1299141.5000,1490923.7500,191782.2500,1011468.1250,1778597.1250,0,0.0000,1428380.5000,1422513.0000,1428380.5000,1422513.0000
SSH,Hybrid,baseline,20,232347.0000,253737.2500,21390.2500,200261.6250,285822.6250,0,0.0000,244704.7500,243924.5000,244704.7500,243924.5000
SSH,Hybrid,latency100,10,2607025.5000,2616443.0000,9417.5000,2592899.2500,2630569.2500,1,10.0000,2640730.4000,2614754.5000,2611974.3333,2614114.0000
SSH,Hybrid,latency200,10,5001527.2500,5011622.7500,10095.5000,4986384.0000,5026766.0000,0,0.0000,5009040.8000,5010652.0000,5009040.8000,5010652.0000
SSH,Hybrid,bandwidth1mbps,10,244121.7500,257387.7500,13266.0000,224222.7500,277286.7500,0,0.0000,250965.5000,248728.5000,250965.5000,248728.5000
SSH,Hybrid,loss1,10,234992.5000,395151.2500,160158.7500,-5245.6250,635389.3750,1,10.0000,332546.9000,249022.0000,292956.5556,245049.0000
SSH,Hybrid,mobile,10,1361582.5000,1486659.0000,125076.5000,1173967.7500,1674273.7500,2,20.0000,1475786.9000,1453389.0000,1386060.6250,1439105.0000
TLS,Classical,baseline,20,23154.0000,26748.2500,3594.2500,17762.6250,32139.6250,2,10.0000,25502.1000,24553.5000,24538.8889,24468.5000
TLS,Classical,latency100,10,629796.5000,634422.2500,4625.7500,622857.8750,641360.8750,0,0.0000,631927.9000,631071.5000,631927.9000,631071.5000
TLS,Classical,latency200,10,1229461.7500,1230619.2500,1157.5000,1227725.5000,1232355.5000,2,20.0000,1231858.9000,1229966.5000,1229726.0000,1229666.0000
TLS,Classical,bandwidth1mbps,10,23945.2500,26577.5000,2632.2500,19996.8750,30525.8750,0,0.0000,25140.6000,25746.5000,25140.6000,25746.5000
TLS,Classical,loss1,10,23372.5000,26104.0000,2731.5000,19275.2500,30201.2500,1,10.0000,26022.8000,24978.0000,24609.2222,24849.0000
TLS,Classical,mobile,10,320168.7500,418475.0000,98306.2500,172709.3750,565934.3750,0,0.0000,370857.0000,363200.0000,370857.0000,363200.0000
TLS,Hybrid,baseline,20,9297.7500,10966.0000,1668.2500,6795.3750,13468.3750,0,0.0000,10146.7500,9988.0000,10146.7500,9988.0000
TLS,Hybrid,latency100,10,613609.2500,616150.2500,2541.0000,609797.7500,619961.7500,0,0.0000,615057.8000,614759.0000,615057.8000,614759.0000
TLS,Hybrid,latency200,10,1217105.2500,1219555.0000,2449.7500,1213430.6250,1223229.6250,1,10.0000,1221289.6000,1218643.5000,1218321.4444,1218456.0000
TLS,Hybrid,bandwidth1mbps,10,38262.7500,43181.0000,4918.2500,30885.3750,50558.3750,0,0.0000,41002.2000,42854.5000,41002.2000,42854.5000
TLS,Hybrid,loss1,10,8923.5000,10482.7500,1559.2500,6584.6250,12821.6250,0,0.0000,9945.4000,9881.5000,9945.4000,9881.5000
TLS,Hybrid,mobile,10,374452.5000,439985.7500,65533.2500,276152.6250,538285.6250,2,20.0000,495659.3000,395894.5000,385040.6250,391296.0000
