protocol,network_profile,classical_observations,hybrid_observations,classical_mean_us,hybrid_mean_us,mean_difference_us,mean_overhead_percent,classical_median_us,hybrid_median_us,median_difference_us,median_overhead_percent,classical_stddev_us,hybrid_stddev_us
SSH,bandwidth1mbps,10,10,183585.60,250965.50,67379.90,36.70,178590.50,248728.50,70138.00,39.27,10608.85,12060.23
SSH,baseline,20,20,235230.45,244704.75,9474.30,4.03,188033.00,243924.50,55891.50,29.72,149054.84,14220.74
SSH,latency100,10,10,2589693.90,2640730.40,51036.50,1.97,2587717.50,2614754.50,27037.00,1.04,9700.44,91197.73
SSH,latency200,10,10,4984973.40,5009040.80,24067.40,0.48,4984998.50,5010652.00,25653.50,0.51,4078.09,8340.89
SSH,loss1,10,10,195261.40,332546.90,137285.50,70.31,193522.50,249022.00,55499.50,28.68,7951.85,148006.61
SSH,mobile,10,10,1428380.50,1475786.90,47406.40,3.32,1422513.00,1453389.00,30876.00,2.17,150151.41,220737.15
TLS,bandwidth1mbps,10,10,25140.60,41002.20,15861.60,63.09,25746.50,42854.50,17108.00,66.45,2370.11,3157.31
TLS,baseline,20,20,25502.10,10146.75,-15355.35,-60.21,24553.50,9988.00,-14565.50,-59.32,3772.89,1225.12
TLS,latency100,10,10,631927.90,615057.80,-16870.10,-2.67,631071.50,614759.00,-16312.50,-2.58,4040.72,2309.58
TLS,latency200,10,10,1231858.90,1221289.60,-10569.30,-0.86,1229966.50,1218643.50,-11323.00,-0.92,5500.39,9550.54
TLS,loss1,10,10,26022.80,9945.40,-16077.40,-61.78,24978.00,9881.50,-15096.50,-60.44,4716.20,1270.04
TLS,mobile,10,10,370857.00,495659.30,124802.30,33.65,363200.00,395894.50,32694.50,9.00,58489.83,295675.62
