experiment_id,timestamp,protocol,configuration,algorithm,classical_component,pqc_component,network_profile,iteration,latency_us,elapsed_s,user_cpu_s,system_cpu_s,memory_kb,tcp_payload_bytes,ip_packets,success
tls_baseline_classical_20260901_150510_1,2026-09-01T15:05:10+00:00,TLS,Classical,X25519,X25519,None,baseline,1,23258,,,,,,,1
tls_baseline_classical_20260901_150510_2,2026-09-01T15:05:10+00:00,TLS,Classical,X25519,X25519,None,baseline,2,21925,,,,,,,1
tls_baseline_classical_20260901_150510_3,2026-09-01T15:05:11+00:00,TLS,Classical,X25519,X25519,None,baseline,3,20380,,,,,,,1
tls_baseline_classical_20260901_150510_4,2026-09-01T15:05:11+00:00,TLS,Classical,X25519,X25519,None,baseline,4,24997,,,,,,,1
tls_baseline_classical_20260901_150510_5,2026-09-01T15:05:11+00:00,TLS,Classical,X25519,X25519,None,baseline,5,22842,,,,,,,1
tls_baseline_classical_20260901_150510_6,2026-09-01T15:05:11+00:00,TLS,Classical,X25519,X25519,None,baseline,6,25732,,,,,,,1
tls_baseline_classical_20260901_150510_7,2026-09-01T15:05:11+00:00,TLS,Classical,X25519,X25519,None,baseline,7,26989,,,,,,,1
tls_baseline_classical_20260901_150510_8,2026-09-01T15:05:11+00:00,TLS,Classical,X25519,X25519,None,baseline,8,35252,,,,,,,1
tls_baseline_classical_20260901_150510_9,2026-09-01T15:05:11+00:00,TLS,Classical,X25519,X25519,None,baseline,9,29951,,,,,,,1
tls_baseline_classical_20260901_150510_10,2026-09-01T15:05:11+00:00,TLS,Classical,X25519,X25519,None,baseline,10,33090,,,,,,,1
tls_baseline_hybrid_20260901_150510_1,2026-09-01T15:05:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,1,11744,,,,,,,1
tls_baseline_hybrid_20260901_150510_2,2026-09-01T15:05:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,2,10332,,,,,,,1
tls_baseline_hybrid_20260901_150510_3,2026-09-01T15:05:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,3,10701,,,,,,,1
tls_baseline_hybrid_20260901_150510_4,2026-09-01T15:05:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,4,9270,,,,,,,1
tls_baseline_hybrid_20260901_150510_5,2026-09-01T15:05:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,5,11766,,,,,,,1
tls_baseline_hybrid_20260901_150510_6,2026-09-01T15:05:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,6,10865,,,,,,,1
tls_baseline_hybrid_20260901_150510_7,2026-09-01T15:05:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,7,10135,,,,,,,1
tls_baseline_hybrid_20260901_150510_8,2026-09-01T15:05:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,8,9825,,,,,,,1
tls_baseline_hybrid_20260901_150510_9,2026-09-01T15:05:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,9,9674,,,,,,,1
tls_baseline_hybrid_20260901_150510_10,2026-09-01T15:05:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,10,12540,,,,,,,1
ssh_baseline_classical_20260901_150959_1,2026-09-01T15:10:00+00:00,SSH,Classical,X25519,X25519,None,baseline,1,730132,,,,,,,1
ssh_baseline_classical_20260901_150959_2,2026-09-01T15:10:00+00:00,SSH,Classical,X25519,X25519,None,baseline,2,175033,,,,,,,1
ssh_baseline_classical_20260901_150959_3,2026-09-01T15:10:00+00:00,SSH,Classical,X25519,X25519,None,baseline,3,188404,,,,,,,1
ssh_baseline_classical_20260901_150959_4,2026-09-01T15:10:00+00:00,SSH,Classical,X25519,X25519,None,baseline,4,189409,,,,,,,1
ssh_baseline_classical_20260901_150959_5,2026-09-01T15:10:00+00:00,SSH,Classical,X25519,X25519,None,baseline,5,175790,,,,,,,1
ssh_baseline_classical_20260901_150959_6,2026-09-01T15:10:01+00:00,SSH,Classical,X25519,X25519,None,baseline,6,182930,,,,,,,1
ssh_baseline_classical_20260901_150959_7,2026-09-01T15:10:01+00:00,SSH,Classical,X25519,X25519,None,baseline,7,172022,,,,,,,1
ssh_baseline_classical_20260901_150959_8,2026-09-01T15:10:01+00:00,SSH,Classical,X25519,X25519,None,baseline,8,172387,,,,,,,1
ssh_baseline_classical_20260901_150959_9,2026-09-01T15:10:01+00:00,SSH,Classical,X25519,X25519,None,baseline,9,193806,,,,,,,1
ssh_baseline_classical_20260901_150959_10,2026-09-01T15:10:01+00:00,SSH,Classical,X25519,X25519,None,baseline,10,212860,,,,,,,1
ssh_baseline_hybrid_20260901_150959_1,2026-09-01T15:10:02+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,1,269355,,,,,,,1
ssh_baseline_hybrid_20260901_150959_2,2026-09-01T15:10:02+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,2,240660,,,,,,,1
ssh_baseline_hybrid_20260901_150959_3,2026-09-01T15:10:02+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,3,228384,,,,,,,1
ssh_baseline_hybrid_20260901_150959_4,2026-09-01T15:10:02+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,4,249055,,,,,,,1
ssh_baseline_hybrid_20260901_150959_5,2026-09-01T15:10:03+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,5,253166,,,,,,,1
ssh_baseline_hybrid_20260901_150959_6,2026-09-01T15:10:03+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,6,272742,,,,,,,1
ssh_baseline_hybrid_20260901_150959_7,2026-09-01T15:10:03+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,7,239917,,,,,,,1
ssh_baseline_hybrid_20260901_150959_8,2026-09-01T15:10:03+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,8,231506,,,,,,,1
ssh_baseline_hybrid_20260901_150959_9,2026-09-01T15:10:04+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,9,222552,,,,,,,1
ssh_baseline_hybrid_20260901_150959_10,2026-09-01T15:10:04+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,10,247816,,,,,,,1
tls_baseline_classical_20260901_151439_1,2026-09-01T15:14:39+00:00,TLS,Classical,X25519,X25519,None,baseline,1,24537,,,,,,,1
tls_baseline_classical_20260901_151439_2,2026-09-01T15:14:39+00:00,TLS,Classical,X25519,X25519,None,baseline,2,21466,,,,,,,1
tls_baseline_classical_20260901_151439_3,2026-09-01T15:14:39+00:00,TLS,Classical,X25519,X25519,None,baseline,3,23759,,,,,,,1
tls_baseline_classical_20260901_151439_4,2026-09-01T15:14:39+00:00,TLS,Classical,X25519,X25519,None,baseline,4,24400,,,,,,,1
tls_baseline_classical_20260901_151439_5,2026-09-01T15:14:39+00:00,TLS,Classical,X25519,X25519,None,baseline,5,22515,,,,,,,1
tls_baseline_classical_20260901_151439_6,2026-09-01T15:14:39+00:00,TLS,Classical,X25519,X25519,None,baseline,6,26668,,,,,,,1
tls_baseline_classical_20260901_151439_7,2026-09-01T15:14:39+00:00,TLS,Classical,X25519,X25519,None,baseline,7,24824,,,,,,,1
tls_baseline_classical_20260901_151439_8,2026-09-01T15:14:39+00:00,TLS,Classical,X25519,X25519,None,baseline,8,28624,,,,,,,1
