protocol,configuration,network_profile,observations,mean_latency_us,median_latency_us,stddev_latency_us,minimum_latency_us,maximum_latency_us
SSH,Classical,bandwidth1mbps,10,183585.60,178590.50,10608.85,173959.00,207482.00
SSH,Classical,baseline,20,235230.45,188033.00,149054.84,172022.00,730132.00
SSH,Classical,latency100,10,2589693.90,2587717.50,9700.44,2577018.00,2614102.00
SSH,Classical,latency200,10,4984973.40,4984998.50,4078.09,4978017.00,4992160.00
SSH,Classical,loss1,10,195261.40,193522.50,7951.85,183637.00,206253.00
SSH,Classical,mobile,10,1428380.50,1422513.00,150151.41,1250389.00,1708675.00
SSH,Hybrid,bandwidth1mbps,10,250965.50,248728.50,12060.23,233958.00,273677.00
SSH,Hybrid,baseline,20,244704.75,243924.50,14220.74,222552.00,272742.00
SSH,Hybrid,latency100,10,2640730.40,2614754.50,91197.73,2600146.00,2899535.00
SSH,Hybrid,latency200,10,5009040.80,5010652.00,8340.89,4998503.00,5024462.00
SSH,Hybrid,loss1,10,332546.90,249022.00,148006.61,231589.00,688860.00
SSH,Hybrid,mobile,10,1475786.90,1453389.00,220737.15,1207307.00,1952299.00
TLS,Classical,bandwidth1mbps,10,25140.60,25746.50,2370.11,21458.00,28852.00
TLS,Classical,baseline,20,25502.10,24553.50,3772.89,20380.00,35252.00
TLS,Classical,latency100,10,631927.90,631071.50,4040.72,626445.00,639487.00
TLS,Classical,latency200,10,1231858.90,1229966.50,5500.39,1228858.00,1247008.00
TLS,Classical,loss1,10,26022.80,24978.00,4716.20,22349.00,38745.00
TLS,Classical,mobile,10,370857.00,363200.00,58489.83,302280.00,458645.00
TLS,Hybrid,bandwidth1mbps,10,41002.20,42854.50,3157.31,35553.00,43950.00
TLS,Hybrid,baseline,20,10146.75,9988.00,1225.12,8274.00,12540.00
TLS,Hybrid,latency100,10,615057.80,614759.00,2309.58,611719.00,619481.00
TLS,Hybrid,latency200,10,1221289.60,1218643.50,9550.54,1215713.00,1248003.00
TLS,Hybrid,loss1,10,9945.40,9881.50,1270.04,8597.00,12789.00
TLS,Hybrid,mobile,10,495659.30,395894.50,295675.62,325288.00,1316982.00
