protocol,configuration,network_profile,observations,mean_us,median_us,stddev_us,p95_us,p99_us,minimum_us,maximum_us,range_us,coefficient_of_variation_percent
SSH,Classical,bandwidth1mbps,10,183585.60,178590.50,10608.85,200959.70,206177.54,173959.00,207482.00,33523.00,5.78
SSH,Classical,baseline,20,235230.45,188033.00,149054.84,606926.50,705490.90,172022.00,730132.00,558110.00,63.37
SSH,Classical,latency100,10,2589693.90,2587717.50,9700.44,2604537.70,2612189.14,2577018.00,2614102.00,37084.00,0.37
SSH,Classical,latency200,10,4984973.40,4984998.50,4078.09,4991516.50,4992031.30,4978017.00,4992160.00,14143.00,0.08
SSH,Classical,loss1,10,195261.40,193522.50,7951.85,205918.20,206186.04,183637.00,206253.00,22616.00,4.07
SSH,Classical,mobile,10,1428380.50,1422513.00,150151.41,1667463.10,1700432.62,1250389.00,1708675.00,458286.00,10.51
SSH,Hybrid,bandwidth1mbps,10,250965.50,248728.50,12060.23,269528.90,272847.38,233958.00,273677.00,39719.00,4.81
SSH,Hybrid,baseline,20,244704.75,243924.50,14220.74,269524.35,272098.47,222552.00,272742.00,50190.00,5.81
SSH,Hybrid,latency100,10,2640730.40,2614754.50,91197.73,2775557.30,2874739.46,2600146.00,2899535.00,299389.00,3.45
SSH,Hybrid,latency200,10,5009040.80,5010652.00,8340.89,5021284.10,5023826.42,4998503.00,5024462.00,25959.00,0.17
SSH,Hybrid,loss1,10,332546.90,249022.00,148006.61,576147.60,666317.52,231589.00,688860.00,457271.00,44.51
SSH,Hybrid,mobile,10,1475786.90,1453389.00,220737.15,1846452.70,1931129.74,1207307.00,1952299.00,744992.00,14.96
TLS,Classical,bandwidth1mbps,10,25140.60,25746.50,2370.11,28066.75,28694.95,21458.00,28852.00,7394.00,9.43
TLS,Classical,baseline,20,25502.10,24553.50,3772.89,33198.10,34841.22,20380.00,35252.00,14872.00,14.79
TLS,Classical,latency100,10,631927.90,631071.50,4040.72,638126.65,639214.93,626445.00,639487.00,13042.00,0.64
TLS,Classical,latency200,10,1231858.90,1229966.50,5500.39,1241052.25,1245816.85,1228858.00,1247008.00,18150.00,0.45
TLS,Classical,loss1,10,26022.80,24978.00,4716.20,33510.60,37698.12,22349.00,38745.00,16396.00,18.12
TLS,Classical,mobile,10,370857.00,363200.00,58489.83,455138.60,457943.72,302280.00,458645.00,156365.00,15.77
TLS,Hybrid,bandwidth1mbps,10,41002.20,42854.50,3157.31,43893.75,43938.75,35553.00,43950.00,8397.00,7.70
TLS,Hybrid,baseline,20,10146.75,9988.00,1225.12,11804.70,12392.94,8274.00,12540.00,4266.00,12.07
TLS,Hybrid,latency100,10,615057.80,614759.00,2309.58,618611.15,619307.03,611719.00,619481.00,7762.00,0.38
TLS,Hybrid,latency200,10,1221289.60,1218643.50,9550.54,1236237.75,1245649.95,1215713.00,1248003.00,32290.00,0.78
TLS,Hybrid,loss1,10,9945.40,9881.50,1270.04,11796.30,12590.46,8597.00,12789.00,4192.00,12.77
TLS,Hybrid,mobile,10,495659.30,395894.50,295675.62,976018.80,1248789.36,325288.00,1316982.00,991694.00,59.65
