protocol,network_profile,classical_n,hybrid_n,classical_median_us,hybrid_median_us,median_difference_us,median_overhead_pct,median_overhead_class,classical_p95_us,hybrid_p95_us,p95_difference_us,p95_overhead_pct,raw_p_value,adjusted_p_value,significant_at_0_05,rank_biserial_correlation,effect_category,direction,performance_sensitive_condition,evidence_classification
SSH,bandwidth1mbps,10,10,178590.5,248728.5,70138.0,39.2731,High,200959.7,269528.9,68569.2,34.1209,0.000183,0.000274,True,-1.0,Large,Hybrid higher latency,True,Strong_positive_hybrid_latency_evidence
SSH,baseline,20,20,188033.0,243924.5,55891.5,29.7243,High,606926.5,269524.35,-337402.15,-55.5919,1.6e-05,9.6e-05,True,-0.8,Large,Hybrid higher latency,True,Strong_positive_hybrid_latency_evidence
SSH,latency100,10,10,2587717.5,2614754.5,27037.0,1.0448,Low,2604537.7,2775557.3,171019.6,6.5662,0.000583,0.000777,True,-0.92,Large,Hybrid higher latency,False,Strong_positive_hybrid_latency_evidence
SSH,latency200,10,10,4984998.5,5010652.0,25653.5,0.5146,Low,4991516.5,5021284.1,29767.6,0.5964,0.000183,0.000274,True,-1.0,Large,Hybrid higher latency,False,Strong_positive_hybrid_latency_evidence
SSH,loss1,10,10,193522.5,249022.0,55499.5,28.6786,High,205918.2,576147.6,370229.4,179.7944,0.000183,0.000274,True,-1.0,Large,Hybrid higher latency,True,Strong_positive_hybrid_latency_evidence
SSH,mobile,10,10,1422513.0,1453389.0,30876.0,2.1705,Low,1667463.1,1846452.7,178989.6,10.7342,0.73373,0.73373,False,-0.1,Negligible,Hybrid higher latency,False,Observed_positive_hybrid_latency_difference
TLS,bandwidth1mbps,10,10,25746.5,42854.5,17108.0,66.4479,Very_high,28066.75,43893.75,15827.0,56.3906,0.000183,0.000274,True,-1.0,Large,Hybrid higher latency,True,Strong_positive_hybrid_latency_evidence
TLS,baseline,20,20,24553.5,9988.0,-14565.5,-59.3215,No_positive_overhead_observed,33198.1,11804.7,-21393.4,-64.4416,0.0,1e-06,True,1.0,Large,Hybrid lower latency,False,Statistically_supported_non_positive_difference
TLS,latency100,10,10,631071.5,614759.0,-16312.5,-2.5849,No_positive_overhead_observed,638126.65,618611.15,-19515.5,-3.0582,0.000183,0.000274,True,1.0,Large,Hybrid lower latency,False,Statistically_supported_non_positive_difference
TLS,latency200,10,10,1229966.5,1218643.5,-11323.0,-0.9206,No_positive_overhead_observed,1241052.25,1236237.75,-4814.5,-0.3879,0.002827,0.003393,True,0.8,Large,Hybrid lower latency,False,Statistically_supported_non_positive_difference
TLS,loss1,10,10,24978.0,9881.5,-15096.5,-60.4392,No_positive_overhead_observed,33510.6,11796.3,-21714.3,-64.7983,0.000183,0.000274,True,1.0,Large,Hybrid lower latency,False,Statistically_supported_non_positive_difference
TLS,mobile,10,10,363200.0,395894.5,32694.5,9.0018,Moderate,455138.6,976018.8,520880.2,114.4443,0.140465,0.153235,False,-0.4,Medium,Hybrid higher latency,True,Observed_positive_hybrid_latency_difference
