algorithm,category,operation,average_us,minimum_us,maximum_us
ML-KEM-768,KEM,keygen,15.121,12.658,134.531
ML-KEM-768,KEM,encapsulation,15.750,13.205,197.809
ML-KEM-768,KEM,decapsulation,19.801,16.086,351.469
X25519,KEM,keygen,105.399,92.300,1915.651
X25519,KEM,derivation,93.883,83.620,583.486
ML-DSA-65,SIGNATURE,keygen,57.309,49.627,677.658
ML-DSA-65,SIGNATURE,signing,159.680,62.154,1088.421
ML-DSA-65,SIGNATURE,verification,53.892,47.751,280.099
ECDSA-P256,SIGNATURE,keygen,33.742,25.896,189.830
ECDSA-P256,SIGNATURE,signing,31.707,25.832,241.010
ECDSA-P256,SIGNATURE,verification,87.905,73.312,497.187
RSA-2048,KEM,keygen,176889.952,43089.579,923844.386
RSA-2048,KEM,encryption,63.404,44.865,2221.249
RSA-2048,KEM,decryption,902.685,788.403,4016.368
